2023-08-10 19:33:27,153 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\artur\Documents\CompassUOL\UDEMY\WEEK-12-Challenge-3\apache-activemq-5.18.2\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-08-10 19:33:27,160 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\artur\Documents\CompassUOL\UDEMY\WEEK-12-Challenge-3\apache-activemq-5.18.2\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-08-10 19:33:27,175 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2023-08-10 19:33:27,176 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2023-08-10 19:33:28,124 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2023-08-10 19:33:28,126 | INFO  | PListStore:[C:\Users\artur\Documents\CompassUOL\UDEMY\WEEK-12-Challenge-3\apache-activemq-5.18.2\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-08-10 19:33:28,126 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2023-08-10 19:33:28,126 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2023-08-10 19:33:28,262 | INFO  | Apache ActiveMQ 5.18.2 (localhost, ID:shark-51110-1691706808135-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-08-10 19:33:28,277 | INFO  | Listening for connections at: tcp://shark:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-08-10 19:33:28,277 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-08-10 19:33:28,280 | INFO  | Listening for connections at: amqp://shark:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-08-10 19:33:28,280 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-08-10 19:33:28,283 | INFO  | Listening for connections at: stomp://shark:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
